video_id,thumbnails
XTDR_4VXbBI,https://i.ytimg.com/vi/XTDR_4VXbBI/default.jpg
gfM0_ngx0zU,https://i.ytimg.com/vi/gfM0_ngx0zU/default.jpg
4QfyFqwan4o,https://i.ytimg.com/vi/4QfyFqwan4o/default.jpg
ym9E1YG3_QQ,https://i.ytimg.com/vi/ym9E1YG3_QQ/default.jpg
1BjgBoummtE,https://i.ytimg.com/vi/1BjgBoummtE/default.jpg
0HefV4XQFcc,https://i.ytimg.com/vi/0HefV4XQFcc/default.jpg
dlOPwVsI-O4,https://i.ytimg.com/vi/dlOPwVsI-O4/default.jpg
M9gFRXw5-kI,https://i.ytimg.com/vi/M9gFRXw5-kI/default.jpg
UpMLVDma-4Q,https://i.ytimg.com/vi/UpMLVDma-4Q/default.jpg
KetL43-xE8o,https://i.ytimg.com/vi/KetL43-xE8o/default.jpg
jgnVsuKY3oM,https://i.ytimg.com/vi/jgnVsuKY3oM/default.jpg
Vzv40VWL5ho,https://i.ytimg.com/vi/Vzv40VWL5ho/default.jpg
DJFK43xpEZk,https://i.ytimg.com/vi/DJFK43xpEZk/default.jpg
ZTkHLduj_FU,https://i.ytimg.com/vi/ZTkHLduj_FU/default.jpg
QOEEvvq808A,https://i.ytimg.com/vi/QOEEvvq808A/default.jpg
Cy0thWiV-eA,https://i.ytimg.com/vi/Cy0thWiV-eA/default.jpg
FDEZalVUJRc,https://i.ytimg.com/vi/FDEZalVUJRc/default.jpg
_lyAEL4Wqao,https://i.ytimg.com/vi/_lyAEL4Wqao/default.jpg
Gql1yOgfcsk,https://i.ytimg.com/vi/Gql1yOgfcsk/default.jpg
ZKBz3iGP124,https://i.ytimg.com/vi/ZKBz3iGP124/default.jpg
ifuE2uIt0T4,https://i.ytimg.com/vi/ifuE2uIt0T4/default.jpg
A5340xbbQJU,https://i.ytimg.com/vi/A5340xbbQJU/default.jpg
TziuG5LtEWY,https://i.ytimg.com/vi/TziuG5LtEWY/default.jpg
_GgfLZFj6kM,https://i.ytimg.com/vi/_GgfLZFj6kM/default.jpg
bMvoNCg6vSY,https://i.ytimg.com/vi/bMvoNCg6vSY/default.jpg
MVuOwzFGaj8,https://i.ytimg.com/vi/MVuOwzFGaj8/default.jpg
UtsfUAHkyWQ,https://i.ytimg.com/vi/UtsfUAHkyWQ/default.jpg
EvCCwnLGtLY,https://i.ytimg.com/vi/EvCCwnLGtLY/default.jpg
LoaEy7CCC1E,https://i.ytimg.com/vi/LoaEy7CCC1E/default.jpg
0iLUynhPMOE,https://i.ytimg.com/vi/0iLUynhPMOE/default.jpg
jLk-s2t9Z9Q,https://i.ytimg.com/vi/jLk-s2t9Z9Q/default.jpg
IlQnGkfskrQ,https://i.ytimg.com/vi/IlQnGkfskrQ/default.jpg
WwpD-daFx8U,https://i.ytimg.com/vi/WwpD-daFx8U/default.jpg
eCtb_ylVDvU,https://i.ytimg.com/vi/eCtb_ylVDvU/default.jpg
geK1ZWHG0Pg,https://i.ytimg.com/vi/geK1ZWHG0Pg/default.jpg
efPGsYK6ayI,https://i.ytimg.com/vi/efPGsYK6ayI/default.jpg
PfuzjAXfeio,https://i.ytimg.com/vi/PfuzjAXfeio/default.jpg
k9OGeF5i54E,https://i.ytimg.com/vi/k9OGeF5i54E/default.jpg
tOHARIf3gpw,https://i.ytimg.com/vi/tOHARIf3gpw/default.jpg
uKJzojYBeiY,https://i.ytimg.com/vi/uKJzojYBeiY/default.jpg
sOpuSRj7IN4,https://i.ytimg.com/vi/sOpuSRj7IN4/default.jpg
ZCdMO8bukPA,https://i.ytimg.com/vi/ZCdMO8bukPA/default.jpg
P-EzMyJKALA,https://i.ytimg.com/vi/P-EzMyJKALA/default.jpg
